,left_ear,right_ear,ear,left_eye_width,left_eye_height_1,left_eye_height_2,right_eye_width,right_eye_height_1,right_eye_height_2,label,outlier_feature_count,outlier_features
24,0.372818846506237,0.3341652171742466,0.3534920318402418,0.0372350480246969,0.0142630695041416,0.013500785804202,0.036939678146592,0.0117637881235152,0.01292412301689,OPEN,1,ear
25,0.1694088699926198,0.1522238394224815,0.1608163547075506,0.0357981201091983,0.0065106557044676,0.005618382446651,0.0382001169648271,0.0054726932037595,0.0061572437377881,OPEN,7,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1, right_eye_height_2"
26,0.3321186526491094,0.3317505600729057,0.3319346063610076,0.0357309407311062,0.0122025997086147,0.0115312240783856,0.0371766880520015,0.0117240525485555,0.0129427216172588,OPEN,3,"left_ear, right_ear, ear"
30,0.1915913599524402,0.195312541335527,0.1934519506439836,0.0353519950763668,0.0073040966568239,0.0062421769706022,0.0378756544438155,0.0069145978295955,0.0078805828187401,OPEN,6,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1"
31,0.1819779849197378,0.2661506800929145,0.2240643325063262,0.035085725140521,0.0070132789916812,0.0057563801293583,0.0382542284119511,0.0096302885500945,0.0107324892664464,OPEN,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
32,0.3614951311738393,0.3224160275637732,0.3419555793688063,0.0346299568565045,0.013093390931887,0.0119437306608859,0.0382308586708863,0.0119197598103436,0.0127327233556947,OPEN,2,"right_ear, ear"
68,0.4498864296326148,0.5206140826972786,0.4852502561649467,0.0375508888207071,0.0173853629115908,0.0164019076905675,0.0371530633278617,0.0189239638038297,0.0197608521638274,OPEN,1,right_ear
75,0.2539898111170272,0.2501810801221143,0.2520854456195708,0.0354509768642087,0.009412841450092,0.0085955323852168,0.035449724498224,0.0082161975418116,0.0095215031881824,OPEN,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
76,0.3273148449885044,0.3385727912556945,0.3329438181220994,0.0353042600559347,0.0118762029741246,0.0112350138411596,0.0343721817685421,0.0109107687953089,0.0123642022505378,OPEN,2,"left_ear, ear"
127,0.2726317197983156,0.3041781469107872,0.2884049333545514,0.0352271348355325,0.0100872299982738,0.0091208387092829,0.0347795280398749,0.0099401566381122,0.0112181881410895,OPEN,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
128,0.3412743318180305,0.3720865192955285,0.3566804255567795,0.0354234237881728,0.012383937208285,0.0117942733597461,0.0357365244534955,0.0127134992939157,0.0138806586973256,OPEN,2,"left_ear, ear"
212,0.2137342643138203,0.2389165096841826,0.2263253869990014,0.0365863038546363,0.0081212357726705,0.0075182577039945,0.0359223356402056,0.0080218159846542,0.009143062117069,OPEN,5,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2"
213,0.1578691125976871,0.1897278245356174,0.1737984685666523,0.0363234458760226,0.0060296503675821,0.0054390499662935,0.035577144596852,0.0062281078974688,0.0072718405976308,OPEN,7,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1, right_eye_height_2"
214,0.2836139317147968,0.3246709023321842,0.3041424170234905,0.0359377465069579,0.0105157757773021,0.0098691153903139,0.0351983523408967,0.011137009352724,0.011718752277526,OPEN,4,"left_ear, right_ear, ear, left_eye_height_1"
258,0.3247771212923311,0.3192767831071388,0.322026952199735,0.0345244658757722,0.0116424752024746,0.0107830380801025,0.0336048186949239,0.0101826887420304,0.0112757880775975,OPEN,3,"left_ear, right_ear, ear"
259,0.1901637494934006,0.1955923830776851,0.1928780662855428,0.0340038486773734,0.0069053642309584,0.0060272344924326,0.0360759434524755,0.0066962181952242,0.0074161413080667,OPEN,7,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1, right_eye_height_2"
260,0.3440850981225215,0.3268238389433737,0.3354544685329476,0.0318824967731816,0.0118578544151607,0.0100827296460216,0.0371678179147648,0.0119403309795211,0.0123543268925823,OPEN,3,"left_ear, right_ear, ear"
355,0.3551230076239486,0.353703812040114,0.3544134098320313,0.029840315789254,0.0107108817663326,0.0104830836167239,0.0286638334367345,0.0097301719997751,0.0105468423087366,OPEN,2,"ear, left_eye_height_1"
363,0.4142649852997024,0.4477688985373689,0.4310169419185357,0.0287003253100096,0.011884116574683,0.0118949631106125,0.0250625745095085,0.0108438542663466,0.0116006284989201,OPEN,1,left_eye_width
365,0.4423814982347149,0.4738876009116538,0.4581345495731843,0.0284682396929698,0.0125272762672258,0.012660368787736,0.0243512710699675,0.0111456298807534,0.0119339009722391,OPEN,1,left_eye_width
