feature,importance
ear,0.2366613305159027
left_eye_height_1,0.23410160892494797
left_ear,0.21964774041742113
left_eye_height_2,0.16984938353406373
right_eye_height_1,0.05999071744041139
right_ear,0.03462243313033223
right_eye_height_2,0.028876241147553515
right_eye_width,0.008721241809005067
left_eye_width,0.007529303080362324
