left_ear,right_ear,ear,left_eye_width,left_eye_height_1,left_eye_height_2,right_eye_width,right_eye_height_1,right_eye_height_2,label
0.4273976728643212,0.4323281754024136,0.4298629241333674,0.0391862529048578,0.0170693527038904,0.0164268738957275,0.0355522375521726,0.014775086703056,0.0159653812817518,OPEN
0.4270191453090828,0.4355387055780506,0.4312789254435667,0.0390782460233875,0.0169541840606609,0.0164201343735091,0.0356599958330237,0.0149064400306207,0.0161561768214469,OPEN
0.4274942216891836,0.4471801361827023,0.437337178935943,0.0391268052489529,0.0170173135379055,0.0164356527762652,0.0358251352384584,0.0153995907557781,0.0166409869536169,OPEN
0.4339461745500308,0.4445209700485453,0.4392335722992881,0.0392175230606234,0.0173748867396258,0.0166617014753445,0.0358122130078581,0.0152039417420964,0.0166346175895799,OPEN
0.4234313204297424,0.4406659303978382,0.4320486254137903,0.0390834928853964,0.0169410084350461,0.0161573415638936,0.0362803648452414,0.01525132087715,0.0167237205822526,OPEN
0.4436452876802396,0.4471833489655348,0.4454143183228872,0.0388816015782066,0.017690551355357,0.0168087272799068,0.0368659671187602,0.0158172508438318,0.0171544424342091,OPEN
0.4362186723199148,0.4247558126218284,0.4304872424708716,0.0392195023478976,0.0175862712085664,0.016630287277929,0.0368682439575731,0.0151326750043688,0.0161873268399087,OPEN
0.439034506608557,0.4372837488001656,0.4381591277043613,0.0387134209307144,0.0174084576071165,0.0165845977077746,0.037242528348755,0.0156786263449668,0.0168924784773132,OPEN
0.4435829675070243,0.4493915792758256,0.446487273391425,0.0383406191247089,0.0174256337568879,0.0165888574579019,0.0371850677643982,0.016030414213742,0.0173908984425009,OPEN
0.4580852150810141,0.4448524205871366,0.4514688178340753,0.0385205021324897,0.0179974426387758,0.0172939023700045,0.0372481684264872,0.0158717809985936,0.0172680947753267,OPEN
0.4451803018932813,0.4391187018470068,0.442149501870144,0.0388095229487967,0.0176882880906395,0.0168661821947195,0.0370727118281672,0.0156132718565857,0.0169453703272802,OPEN
0.4492437462682412,0.4303625736635892,0.4398031599659152,0.0392413665034582,0.0180980325416625,0.0171598444517347,0.0371094077376302,0.0153593786406091,0.016581621801587,OPEN
0.4476153870822581,0.4263577258329474,0.4369865564576027,0.0389667019828233,0.0179240250985609,0.01696016568416,0.0369502377502718,0.0151365681747751,0.01637147049761,OPEN
0.4449686085006162,0.4333692085101764,0.4391689085053963,0.0396635606022826,0.018121005098417,0.017177073640338,0.0374258222984738,0.0156872213848851,0.0167511765897791,OPEN
0.4156437089982209,0.4127716352825263,0.4142076721403737,0.0390584826788796,0.0168544090392372,0.0156144161777473,0.0366219614865893,0.0148175357737995,0.0154154780863468,OPEN
0.4045825604423214,0.4251483563404177,0.4148654583913695,0.0376906323417744,0.0159022298263585,0.014595715248692,0.0386739891676168,0.016180269313818,0.0167040965416607,OPEN
0.4282743212549885,0.4276152256686228,0.4279447734618057,0.0367121868019058,0.0163555522520018,0.0150902215167432,0.0386215849938214,0.0162859681791769,0.0167443873864488,OPEN
0.4426981554314869,0.424966562470549,0.433832358951018,0.0369851302420231,0.0169839574093603,0.0157625404637135,0.0386792271852367,0.0161922647546367,0.0166824916772181,OPEN
0.4329006957623879,0.4443212743758193,0.4386109850691035,0.0371386131863419,0.0167110788562493,0.0154435841197858,0.0385793303583304,0.0167945854790437,0.0174886489797144,OPEN
0.440085294603474,0.454000605294701,0.4470429499490875,0.0374753961255461,0.0170961097605976,0.015888631727988,0.0380398765648139,0.0168816124330535,0.0176586415384689,OPEN
0.4343527675873367,0.4560225513119357,0.4451876594496362,0.0378107800144426,0.0170583581169833,0.0157880757708349,0.0378756954947256,0.0168274128997815,0.0177169296846559,OPEN
0.4327667259951502,0.431877039415205,0.4323218827051776,0.0385001477807305,0.0171650563679356,0.0161581094428568,0.0369487036352806,0.0156224393581852,0.0162921541142844,OPEN
0.4355646422972821,0.4418346470482804,0.4386996446727813,0.0388677009079226,0.0174713790986886,0.0163874133870655,0.0364625094346051,0.0159035489771328,0.0163172509959338,OPEN
0.4405465405249155,0.4612243274172323,0.4508854339710739,0.0391119418084509,0.0178213991920761,0.0166398621217736,0.0360648285434142,0.016383378288175,0.016884574288533,OPEN
0.372818846506237,0.3341652171742466,0.3534920318402418,0.0372350480246969,0.0142630695041416,0.013500785804202,0.036939678146592,0.0117637881235152,0.01292412301689,OPEN
0.1694088699926198,0.1522238394224815,0.1608163547075506,0.0357981201091983,0.0065106557044676,0.005618382446651,0.0382001169648271,0.0054726932037595,0.0061572437377881,OPEN
0.3321186526491094,0.3317505600729057,0.3319346063610076,0.0357309407311062,0.0122025997086147,0.0115312240783856,0.0371766880520015,0.0117240525485555,0.0129427216172588,OPEN
0.4019473954763352,0.3962034114288074,0.3990754034525713,0.0381529048304865,0.015266183537162,0.015404737915779,0.039181171977062,0.0145293764546066,0.0165180515475749,OPEN
0.4312703490577704,0.3945971542993183,0.4129337516785443,0.0380067798370183,0.0162569363668242,0.0165254580469212,0.0400025975847567,0.0148960289991333,0.0166737933439182,OPEN
0.4541982740608597,0.4034939766981277,0.4288461253794937,0.0381979643549258,0.0172538244605207,0.0174450745047703,0.039311935798589,0.0150381945607312,0.0166860640534171,OPEN
0.3614951311738393,0.3224160275637732,0.3419555793688063,0.0346299568565045,0.013093390931887,0.0119437306608859,0.0382308586708863,0.0119197598103436,0.0127327233556947,OPEN
0.3884264549830356,0.3757156182413414,0.3820710366121885,0.0350657530147252,0.0142044481734077,0.0130364840962331,0.0387932477936971,0.0142264685012418,0.014923989655555,OPEN
0.3806606090819133,0.3822338555467163,0.3814472323143149,0.0366059590751342,0.0144864100128541,0.0133824833422822,0.0377960283093889,0.0141528753528384,0.0147409678972626,OPEN
0.4141453168091939,0.383247147219609,0.3986962320144015,0.0372253837522843,0.015874210016991,0.0149592266778762,0.0369765157863309,0.0138065903578853,0.0145356980205789,OPEN
0.4095058353696396,0.3896500783089066,0.3995779568392731,0.0374568991708443,0.0158280426118765,0.0148495949587494,0.0365288441739478,0.0137371726487278,0.0147297613370973,OPEN
0.4179801052610623,0.3555769423928365,0.3867785238269494,0.0387657590154631,0.0164164871073215,0.0159901449602949,0.0360297378331845,0.0125210024012554,0.013101685626623,OPEN
0.4223695242044094,0.3698029046841956,0.3960862144443025,0.0387677930794208,0.016544769849713,0.0162038987851068,0.0335103314416231,0.0118990726489101,0.0128853631591745,OPEN
0.4112156598642057,0.4031612980734755,0.4071884789688406,0.0390679573629829,0.0163528467395169,0.0157778649936143,0.0335233620568833,0.0130377132768777,0.0139929310484026,OPEN
0.442892843840786,0.4156674899476465,0.4292801668942162,0.037124709895226,0.0166539567781317,0.0162305799063898,0.0335181605050021,0.0134888502576923,0.0143759690318608,OPEN
0.391896580810258,0.4244415196614511,0.4081690502358546,0.0393914258144577,0.0155681720681074,0.0153065581117464,0.0343328626064372,0.0139777364242753,0.0151668483337327,OPEN
0.3956252657714579,0.401970098509712,0.398797682140585,0.0373258956485539,0.0150988249613395,0.0144353098108942,0.0351462148212181,0.0135601205486651,0.0146953343191919,OPEN
0.3803441826846285,0.391857009113051,0.3861005958988397,0.0359669496160901,0.0143676453175299,0.0129919947932521,0.0394012090251868,0.0152445911339534,0.0156346887141423,OPEN
0.3935158733872975,0.388841188165313,0.3911785307763052,0.0349774988783499,0.0148504465467363,0.0126779554932978,0.0396313147046805,0.0154848629018775,0.0153357120947653,OPEN
0.3879586389770391,0.4104801188295011,0.3992193789032701,0.0348079762482053,0.014346896194339,0.0126612139872587,0.0406736438810584,0.0168142051034444,0.0165772392436069,OPEN
0.4287609006063971,0.4138814678274229,0.42132118421691,0.0345160187681296,0.0156631102083936,0.0139351283763475,0.0404643808130953,0.0167653748304344,0.016729539820869,OPEN
0.4114065131693602,0.4254068393017393,0.4184066762355497,0.0342021264065195,0.0148709241030025,0.0132710310327652,0.0400980133396904,0.0169907184021146,0.0171252198321186,OPEN
0.4426403740728247,0.3933273271111818,0.4179838505920032,0.0347980119367905,0.0161807798493936,0.0146252301919894,0.0396643364981007,0.0155318885825573,0.0156702463303155,OPEN
0.431639155968522,0.3880419407796939,0.409840548374108,0.0348667245997156,0.0156814128309774,0.0144182743242389,0.0389902152508321,0.0148477401972294,0.0154119373974723,OPEN
0.4166055372863179,0.3999650570967646,0.4082852971915413,0.0359778688227581,0.015610421547423,0.0143667371952205,0.0372061637194911,0.0146934773264018,0.0150688534664338,OPEN
0.3948953105244706,0.4099926731460966,0.4024439918352836,0.0372673214756181,0.0151585905213742,0.0142747904516847,0.0364979771485831,0.0144843529241246,0.0154434535070209,OPEN
0.4211044950905656,0.366448051057808,0.3937762730741868,0.0376383256898973,0.0161052980245826,0.0155940382468143,0.0353651961693109,0.0125586187342263,0.0133603956888157,OPEN
0.4342841090801035,0.3418893472288838,0.3880867281544936,0.038598767016476,0.0167928078926136,0.0167328543980679,0.0333733924799858,0.0109855263072412,0.0118344884323501,OPEN
0.4328974467180501,0.4072504676541441,0.4200739571860971,0.0381220193953052,0.016592669627839,0.0164131800920881,0.032838870572427,0.0129903198396199,0.0137569709560896,OPEN
0.4398360248671289,0.4304628681592363,0.4351494465131826,0.0388936569784598,0.0172241167470645,0.0169895462088383,0.0332839784568982,0.0139139616315461,0.0147410720290671,OPEN
0.4533908361560704,0.4210500188335813,0.4372204274948258,0.0378014573694356,0.0173686948199251,0.0169089739093678,0.033308231593042,0.0136648276694531,0.0143840354096741,OPEN
0.4160611095270777,0.4277058121029212,0.4218834608149995,0.0374816882253561,0.0157738227938099,0.0154155227861693,0.0340160350245666,0.0142088928422407,0.0148888189271666,OPEN
0.3968972199365594,0.4030118631662087,0.3999545415513841,0.0381185460824397,0.0153359587156194,0.0149223312206685,0.0357068826533421,0.0138170060413259,0.0149635885706352,OPEN
0.4150204775473568,0.4504856962139207,0.4327530868806388,0.0380603385105049,0.0160928083309498,0.0154988313975377,0.035850915907467,0.0157238181506365,0.0165768314743274,OPEN
0.4227130869882945,0.4523777654937727,0.4375454262410336,0.0380028427595778,0.01623659167063,0.0158920062838337,0.036869798495974,0.016318342202121,0.0170398119135077,OPEN
0.4108852576650359,0.4620454136919855,0.4364653356785107,0.0398340286318019,0.0167728979372553,0.0159615322991733,0.036883309350539,0.0168516390386523,0.0172318888157462,OPEN
0.4544034966921842,0.4456272151072133,0.4500153558996987,0.0371289763851774,0.0171964765648668,0.0165465968311854,0.0366901318268325,0.0156085919937886,0.0170916505420272,OPEN
0.4472022572429988,0.435386708773385,0.4412944830081919,0.0366805977009605,0.0167208245620673,0.0160864676157164,0.0359419804510948,0.0148430588369864,0.0164542623138125,OPEN
0.4381692620699023,0.4175871915592826,0.4278782268145925,0.0358458209320303,0.0159710452427029,0.0154420285694522,0.0349292588515756,0.0140734152471577,0.0150986069669956,OPEN
0.3716564653899136,0.4024914485901463,0.38707395699003,0.0372370843761908,0.0142079523356208,0.0134708539857412,0.0354832612350582,0.0136560030691509,0.0149074153612513,OPEN
0.3273148449885044,0.3385727912556945,0.3329438181220994,0.0353042600559347,0.0118762029741246,0.0112350138411596,0.0343721817685421,0.0109107687953089,0.0123642022505378,OPEN
0.3728218145547495,0.3854929881604462,0.3791574013575979,0.0361643534749628,0.0137732883436393,0.0131924314258306,0.0348479570029949,0.012778461293524,0.0140888248592184,OPEN
0.3858296477491591,0.4131700580259541,0.3994998528875566,0.0361959430420391,0.0143322034120358,0.0135987324956813,0.0347203585334087,0.0137365341157569,0.0149542909841038,OPEN
0.4045730656038812,0.4088888473234685,0.4067309564636748,0.0366952157312726,0.0151295425291955,0.0145622493135979,0.0348316345599036,0.0136423733184561,0.0148421604927264,OPEN
